 21COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0xC0, 0x00, 0x00, 0x00, 0x0
 22COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0xC0, 0x00, 0x00, 0x00, 0x0
 23COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0xC0, 0x00, 0x00, 0x00, 0x0
 24COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0xC0, 0x00, 0x00, 0x00, 0x0
 25COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0xC0, 0x00, 0x00, 0x00, 0x0
 26COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0xC0, 0x00, 0x00, 0x00, 0x0
 27COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0xC0, 0x00, 0x00, 0x00, 0x0
 28COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0xC0, 0x00, 0x00, 0x00, 0x0
 29COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0xC0, 0x00, 0x00, 0x00, 0x0
 30COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0xC0, 0x00, 0x00, 0x00, 0x0
 16COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0xA0, 0x00, 0x00, 0x00, 0x0
 17COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0xA0, 0x00, 0x00, 0x00, 0x0
 18COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0xA0, 0x00, 0x00, 0x00, 0x0
 19COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0xA0, 0x00, 0x00, 0x00, 0x0
 20COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0xA0, 0x00, 0x00, 0x00, 0x0
 21COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0xA0, 0x00, 0x00, 0x00, 0x0
 22COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0xA0, 0x00, 0x00, 0x00, 0x0
 23COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0xA0, 0x00, 0x00, 0x00, 0x0
